Borough,Longitude,Latitude,LatinSpecies
Brooklyn,-73.880391,40.672465,ACER PLATANOIDES
Queens,-73.790521,40.744656,UNKNOWN DEAD TREES 
Queens,1.0,1.0,TILIA CORDATA
Manhattan,-73.954879,40.801686,TILIA CORDATA
Bronx,-73.856593,40.847951,TILIA CORDATA
Queens,-73.816024,40.733867,PLATANUS ACERIFOLIA
Brooklyn,-74.02806899999999,40.637984,PLATANUS ACERIFOLIA
Brooklyn,-73.980335,40.641933,PLATANUS ACERIFOLIA
Queens,1.0,1.0,ACER PLATANOIDES
Queens,-73.842892,40.727276,ACER PLATANOIDES
Queens,-73.71611899999999,40.731639,PYRUS CALLERYANA
Queens,-73.70912,40.744737,QUERCUS PHELLOS
Staten Island,-74.15586,40.617940999999995,ACER RUBRUM
Brooklyn,-73.970347,40.59619,PLATANUS ACERIFOLIA
Manhattan,-73.939362,40.790585,GLEDITSIA TRIACANTHOS
Manhattan,-73.99011,40.712635,PRUNUS SPECIES
Queens,1.0,1.0,ACER SACCHARINUM
Queens,-73.851658,40.719765,ACER RUBRUM
Queens,-73.75895,40.689254999999996,ACER PLATANOIDES
Queens,-73.826541,40.77163,QUERCUS PALUSTRIS
Queens,-73.871077,40.750156,ACER PLATANOIDES
Manhattan,-73.922747,40.864779999999996,SOPHORA JAPONICA
Staten Island,-74.140663,40.613381,ACER PLATANOIDES
Staten Island,-74.168959,40.547181,PLATANUS ACERIFOLIA
Staten Island,-74.15016999999999,40.616082,PLATANUS ACERIFOLIA
Queens,-73.799327,40.789513,PLATANUS ACERIFOLIA
Queens,-73.77594599999999,40.765390999999994,ACER RUBRUM
Queens,-73.818188,40.768728,ACER PLATANOIDES
Queens,-73.8186,40.683259,GLEDITSIA TRIACANTHOS
Queens,-73.810101,40.730334,PLATANUS ACERIFOLIA
Queens,-73.734768,40.772114,ACER SACCHARINUM
Staten Island,-74.158518,40.57936,PYRUS CALLERYANA
Queens,1.0,1.0,PLATANUS ACERIFOLIA
Manhattan,-73.972587,40.745159,UNKNOWN DEAD TREES 
Bronx,-73.907275,40.908211,GLEDITSIA TRIACANTHOS
Queens,1.0,1.0,ACER PSEUDOPLATANUS
Brooklyn,-73.99724300000001,40.694207,PYRUS CALLERYANA
Brooklyn,-73.953503,40.575215,PLATANUS ACERIFOLIA
Brooklyn,-73.998266,40.601848,PLATANUS ACERIFOLIA
